data,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF
2009-08,0.731417993,1.012831123,0.559915529,0.237248487,1.695594952,1.117124076,2.554078748,0.408346733,2.002972666,0.233978087,6.151314039,2.175079583,5.856810517,9.568747331,1.881487108,4.549999576,5.670455206,3.613215076,0.118672648,1.155034674,0.374312890,0.016343226,0.000000000,0.720187011,1.632412653,1.231797243,0.728839208
2009-09,0.531940359,0.723450802,0.500977053,0.948993948,1.910908597,1.436302383,2.786267725,0.282701584,1.812213364,0.479655079,6.023825665,2.864738963,4.960128287,10.107385430,1.732948652,5.622597074,6.429178086,4.129388658,0.162394149,1.676975029,0.729910136,0.163432261,0.018324872,0.720187011,1.299267213,1.333040852,0.805559125
2009-10,0.465447814,1.736281926,0.294692384,1.423490922,1.426452896,1.436302383,3.173249353,0.266995941,1.939386232,0.584945218,6.979988469,2.493383912,5.255238894,10.550969740,1.683435833,6.107657089,6.154640202,3.154394114,0.118672648,1.686640591,1.122938671,0.375894199,0.064137052,1.270918255,1.232638125,1.333040852,0.498679458
2009-11,0.598432904,1.446901605,0.206284669,0.711745461,1.022739812,1.276713229,2.863664050,0.329818515,1.526074412,0.573246314,6.565651254,1.724148450,3.995343609,9.156847611,1.485384559,7.624323615,6.998220246,4.416151760,0.206115651,1.744633964,0.823488358,0.392237425,0.137436541,1.821649499,2.498590795,1.636771679,0.613759333
2009-12,0.664925449,1.157521284,0.324161622,0.948993948,1.157310840,0.319178307,2.708871399,0.251290297,1.144555809,0.374364940,6.151314039,1.909825975,4.596915232,10.931184860,1.336846103,5.479128619,5.625530825,2.953659943,0.131164505,1.510244082,0.720552314,0.506640008,0.109949233,1.313282197,1.965558092,1.333040852,0.690479250
2010-01,0.960055914,0.681608432,0.487946992,1.775922925,1.411413800,1.792312771,1.517949756,0.243353817,1.186521120,0.638873236,5.555508207,2.628415347,5.468116221,10.382971410,2.079286582,5.892883922,5.776297077,2.816539173,0.125078729,1.315974459,0.852061126,0.416104126,0.243128601,1.740798069,1.680327842,1.249211331,1.050518256
2010-02,0.192011183,1.226895178,0.602758049,0.665971097,1.411413800,1.493593975,2.457632938,0.136886522,0.897907875,0.520563377,5.082027394,2.442567797,4.729181597,10.671387290,1.982575578,4.344753400,4.893523761,2.588940048,0.118824793,1.328092087,0.660586716,0.368092111,0.177670901,1.595731563,2.273384727,1.082649820,0.817069754
2010-03,0.704041003,0.817930119,0.430541463,1.109951828,1.675229464,1.642953373,2.168499651,0.365030726,1.122384843,0.295774646,7.291604522,3.982447495,5.570430246,15.029671580,1.692442567,5.322144559,5.138455085,3.470886658,0.100062983,1.454115424,0.593570672,0.304076092,0.065457700,1.547376061,1.614432632,1.382460540,0.933794005
2010-04,0.256014910,0.954251805,0.774974634,0.665971097,1.701611030,1.493593975,3.831016051,0.243353817,1.282725535,0.603380278,6.028989021,2.230170597,4.467712422,12.337790110,2.804619111,5.172325476,4.623078756,2.275991251,0.125078729,1.296586253,0.335080218,0.240060073,0.084159900,1.692442567,2.075699099,1.132618274,0.466897003
2010-05,0.512029821,1.908503610,0.459244228,0.443980731,1.767564946,0.746796988,2.746766225,0.273773044,1.603406919,1.348732387,5.902727470,2.469117447,4.933809647,11.921189400,3.771729149,5.336413043,4.862907345,3.186387752,0.075047238,1.204492276,0.229769292,0.144036044,0.018702200,0.773688031,1.746223051,1.299179784,0.894885921
