execucao_utc,data_previsao,uf,regiao,media,limite_inferior_95,limite_superior_95
2026-08-10T00:25:46.942577+00:00,2026-07,MS,Centro-Oeste,14.7351652792126,9.203773797211724,20.12838245104658
2026-08-10T00:25:46.942577+00:00,2026-07,MT,Centro-Oeste,4.64161921088523,3.899219740122825,5.3983959274013795
2026-08-10T00:25:46.942577+00:00,2026-07,PA,Norte,4.405847123658439,3.9896661320529936,4.790632916432423
2026-08-10T00:25:46.942577+00:00,2026-07,PB,Nordeste,20.519773745269795,19.446815801884746,21.590070180710903
2026-08-10T00:25:46.942577+00:00,2026-07,PE,Nordeste,18.007176547555506,17.24483574274074,18.78753226079426
2026-08-10T00:25:46.942577+00:00,2026-07,PI,Nordeste,16.564937001335917,15.76483638425606,17.33128921186102
2026-08-10T00:25:46.942577+00:00,2026-07,PR,Sul,4.326353846353093,3.730256647240737,4.884431619520103
2026-08-10T00:25:46.942577+00:00,2026-07,RJ,Sudeste,0.4471393225007107,0.3875507696898963,0.5094473702247937
2026-08-10T00:25:46.942577+00:00,2026-07,RN,Nordeste,15.192147311718806,14.391365696824842,15.983371699271732
2026-08-10T00:25:46.942577+00:00,2026-07,RO,Norte,1.993745943677928,1.7389376044752043,2.2466581555101177
2026-08-10T00:25:46.942577+00:00,2026-07,RR,Norte,2.515295548152504,1.9858271196852655,3.0870607321758854
2026-08-10T00:25:46.942577+00:00,2026-07,RS,Sul,0.3916136169212285,0.27118911513105887,0.5278408543865815
2026-08-10T00:25:46.942577+00:00,2026-07,SC,Sul,0.17739454100412405,0.0465249643760591,0.3161948895203558
2026-08-10T00:25:46.942577+00:00,2026-07,SE,Nordeste,12.644891161581894,11.880202210085475,13.486276388315995
2026-08-10T00:25:46.942577+00:00,2026-07,SP,Sudeste,8.736586382238162,7.417805436555305,10.087665164854085
2026-08-10T00:25:46.942577+00:00,2026-07,TO,Norte,11.364608915349802,9.982268711317847,12.841747384229873
